POST_ID,TEXTO,LIKES
1581068362073228,AGOTADAS..... msi rx 580 de 8gb levemente usadas con garantia $195.00,13,2020-05-29 20:11:39
1542995252547206,Juego gratis en EPIC GAMES..... Just Cause 4,8,2020-04-16 12:24:27
1542992265880838,"Sin duda uno de los mejores anuncios en estos tiempos, esperemos que sea tan espectacular como en su tiempo.",18,2020-04-16 12:19:44
1528933947286670,,4,2020-04-01 07:15:35
1517701408409924,"Resident evil 3 msi rx 580 graficos altos 1080p. $195.99 aprovecha a quedarte en casa.
YOUTUBE.COM
RESIDENT EVIL 3 Raccoon City Demo MSI RX 580",6,2020-03-20 09:53:40
1499823200197745,,2,2020-03-02 12:52:04
1494128404100558,"MSI RX 580 8GB
$195.99 $210.00",0,2020-02-25 16:05:30
1494060194107379,"MSI RX 580 8GB
$195.99 $210.00",0,2020-02-25 14:09:41
1492958437550888,"Cumpliendole a uno de nuestros clientes con el cambio por garantia, recuerden garantia REAL gracias por su preferencia.",27,2020-02-24 13:57:18
1492289520951113,"https://youtu.be/AObwzTu9xNQ
YOUTUBE.COM
Assassin's Creed Syndicate",2,2020-02-23 22:09:46
1477834539063278,"Aceptamos todas las tarjetas de crédito o débito, al recoger tus compras en nuestra dirección de paquetes.",2,2020-02-10 09:55:34
1474810892698976,"(((((Oferta))))))
MSI RX 580 8GB solo este sábado 8, domingo 9 y lunes 10 a $195.00
Núcleo / Memoria
Impulso de reloj / frecuencia de memoria
hasta 1366 MHz / 8000 MHz
8GB GDDR5
Diseño térmico de armadura 2X
Ventilador TORX
: aspa del ventilador de dispersión: aspa curva empinada que acelera el flujo de aire.
- Aspa del ventilador tradicional: proporciona un flujo de aire constante al disipador de calor masivo debajo.
Zero Frozr: Detener el ventilador en situaciones de baja carga, manteniendo un ambiente libre de ruido.
Tecnología avanzada de control de flujo de aire: mejora la eficiencia de enfriamiento mediante el uso de aerodinámica avanzada para enfocar el flujo de aire.
Utilidad de overclocking Afterburner
Control inalámbrico a través de dispositivos Android / iOS.
Depredador: grabación de video en el juego.
Kombustor: punto de referencia DirectX12.
Admite configuraciones de múltiples GPU.
Componentes militares de clase 4
Certificado según los estándares MIL-STD-810G para máxima estabilidad y calidad.
Construido con Hi-c CAP, Solid CAP y nuevos componentes SFC.",5,2020-02-07 20:17:25
1471224896390909,"Laptop gamer OMEN by HP 15-dh0009tx RTX 2080 $1900.00
- Intel® Core ™ i7-9750H (frecuencia base de 2.6 GHz, base de hasta 4.5 GHz con tecnología Intel® Turbo Boost, 12 MB de caché, 6 núcleos)
- SDRAM DDR4-2666 de 16 GB (2 x 8 GB)
- 1 TB 7200 rpm SATA
SSD PCIe® NVMe ™ M.2 de 512
- 15,6 ""en diagonal FHD 144 Hz IPS antirreflejo micro-borde con retroiluminación WLED (1920 x 1080)
- Intel® Wireless-AC 9560 802.11a / b / g / n / ac (2x2) Combo de Wi-Fi® y Bluetooth® 5
- LAN 10/100/1000 GbE integrada
- 1 lector de tarjetas multimedia SD multiformato
- 1 USB 3.1 Gen 2 Type-C ™ con Thunderbolt ™ 3 (velocidad de señalización de 40 Gb / s, DisplayPort ™ 1.4, HP Sleep and Charge); 1 USB 3.1 Gen 2 Type-C ™ (velocidad de señalización de 10 Gb / s, DisplayPort ™ 1.4, HP Sleep and Charge); 1 USB 3.1 Gen 1 Tipo-A (HP Sleep and Charge); 2 USB 3.1 Gen 1 Tipo-A (solo transferencia de datos); 1 RJ-45; 1 combo de auriculares / micrófono; 1 pin inteligente de CA; 1 Mini DisplayPort ™; 1 HDMI
- Tarjeta de video RTX 2080",7,2020-02-04 15:00:53
